census_id,CLSC_code,census_type
4620361,6222,CT
4620362,6222,CT
4620363,6222,CT
4620364,6222,CT
4620365,6222,CT
4620366,6222,CT
4620367,6222,CT
4620390,6121,CT
4620391,6121,CT
4620392,6121,CT
4620393,6121,CT
4620394,6121,CT
4620395.01,6121,CT
4620395.02,6121,CT
4620395.03,6121,CT
4620396,6121,CT
4620397,6121,CT
4620410.01,6412,CT
4620410.02,6412,CT
4620410.03,6412,CT
4620412,6412,CT
4620413.01,6412,CT
4620413.02,6412,CT
4620415.03,6412,CT
4620415.04,6412,CT
4620415.05,6412,CT
4620415.06,6412,CT
4620416.01,6411,CT
4620416.02,6412,CT
4620417.01,6412,CT
4620417.02,6412,CT
4620418,6412,CT
4620419,6412,CT
4620420,6412,CT
4620421.01,6412,CT
4620421.02,6412,CT
4620511.01,6112,CT
4620511.02,6112,CT
4620512.02,6112,CT
4620512.03,6112,CT
4620512.04,6112,CT
4620513.01,6112,CT
4620513.02,6112,CT
4620514.01,6112,CT
4620514.02,6112,CT
4620515.01,6112,CT
4620515.02,6112,CT
4620515.03,6112,CT
4620515.04,6112,CT
4620530,6112,CT
4620540,6112,CT
4620550.02,6112,CT
4620550.03,6112,CT
4620550.04,6112,CT
4620580.01,6523,CT
4620580.02,6523,CT
4620580.03,6523,CT
4620581.01,6523,CT
4620581.02,6523,CT
4620582.01,6523,CT
4620582.02,6523,CT
4620583,6523,CT
4620584,6523,CT
4620585.01,6523,CT
4620585.02,6523,CT
4620590.01,6522,CT
4620590.02,6522,CT
4620591.01,6522,CT
4620591.02,6522,CT
4620592,6522,CT
4620593.01,6522,CT
4620593.02,6522,CT
4620594.01,6522,CT
4620594.02,6522,CT
4620600.01,6512,CT
4620600.02,6512,CT
4620600.03,6512,CT
4620601.01,6512,CT
4620601.02,6512,CT
4620602.01,6512,CT
4620602.02,6512,CT
4620603.01,6512,CT
4620603.02,6512,CT
4620603.03,6512,CT
4620604.01,6512,CT
4620604.02,6512,CT
4620604.03,6512,CT
4620604.04,6512,CT
4620604.05,6512,CT
4620605.01,6512,CT
4620605.02,6512,CT
4620605.03,6512,CT
4620605.04,6512,CT
4620605.05,6512,CT
4620610.01,6422,CT
4620610.02,6422,CT
4620610.03,6422,CT
4620610.04,6422,CT
4620610.05,6422,CT
4620610.06,6422,CT
4620610.07,6422,CT
4620611.01,6422,CT
4620611.02,6422,CT
4620612,6422,CT
4620613,6422,CT
4620614,6422,CT
4620615,6422,CT
4620616,6422,CT
4620617.01,6422,CT
4620617.02,6422,CT
4620618,6422,CT
4620619,6422,CT
4620625.01,13112,CT
4620625.02,13112,CT
4620626,13112,CT
4620627,13112,CT
4620628.01,13112,CT
4620628.02,13112,CT
4620629,13112,CT
4620630.01,13112,CT
4620630.02,13112,CT
4620632.01,13113,CT
4620632.02,13113,CT
4620632.03,13113,CT
4620632.04,13113,CT
4620633,13113,CT
4620634,13113,CT
4620635,13113,CT
4620636,13113,CT
4620637.01,13113,CT
4620637.02,13113,CT
4620638.01,13113,CT
4620638.02,13113,CT
